Instituição;Cod.IBGE;UF;População;Indicador_1;Nota_1;Indicador_2;Nota_2;Indicador_3;Nota_3;Classificação da CAPAG
Prefeitura Municipal de Águas Mornas - SC;4200606;SC;6378;;n.d.;0,896067006;A;0,005202354;A;n.d.
Prefeitura Municipal de Águas Vermelhas - MG;3101003;MG;13477;0,249947693;A;1,013581746;C;18,81172284;C;C
Prefeitura Municipal de Agudo - RS;4300109;RS;16524;0,032178636;A;0,811500858;A;0,035126411;A;A
Prefeitura Municipal de Agudos - SP;3500709;SP;37023;0,058081732;A;0,972972051;C;0,671702358;A;C
Prefeitura Municipal de Agudos do Sul - PR;4100301;PR;9269;0,059661965;A;0,984623737;C;-2,105859564;C;C
Prefeitura Municipal de Águia Branca - ES;3200136;ES;9653;0,000837782;A;0,850292776;A;0,903119802;A;A
Prefeitura Municipal de Aguiar - PB;2500205;PB;5571;0,316175366;A;0,898392781;A;0,936023455;A;A
Prefeitura Municipal de Aguiarnópolis - TO;1700301;TO;6572;;n.d.;0,951261852;C;-0,260834996;C;n.d.
Prefeitura Municipal de Aimorés - MG;3101102;MG;25193;0,02991633;A;0,968350168;C;0,077316272;A;C
Prefeitura Municipal de Aiquara - BA;2900603;BA;4478;1,101122422;B;0,930721;B;0,976314437;A;B
Prefeitura Municipal de Aiuaba - CE;2300408;CE;17303;0,368226236;A;0,925931666;B;;n.d.;n.d.
Prefeitura Municipal de Aiuruoca - MG;3101201;MG;;;n.d.;0,947988928;B;0,397312566;A;n.d.
Prefeitura Municipal de Ajuricaba - RS;4300208;RS;7063;;n.d.;0,904623308;B;0,360587396;A;n.d.
Prefeitura Municipal de Alagoa - MG;3101300;MG;2683;0,103292514;A;1,000206004;C;-0,006656751;C;C
Prefeitura Municipal de Alagoa Grande - PB;2500304;PB;28623;;n.d.;0,970606945;C;0,427452907;A;n.d.
Prefeitura Municipal de Alagoa Nova - PB;2500403;PB;20589;;n.d.;0,991006258;C;0,370879877;A;n.d.
Prefeitura Municipal de Alagoinha - PB;2500502;PB;14367;0,085239965;A;0,866473825;A;-0,134850121;C;C
Prefeitura Municipal de Alagoinha - PE;2600609;PE;14554;0,111349457;A;0,942383106;B;3,690961897;C;C
Prefeitura Municipal de Alagoinha do Piauí - PI;2200251;PI;7636;;n.d.;1,028431858;C;0,76563911;A;n.d.
Prefeitura Municipal de Alagoinhas - BA;2900702;BA;150832;0,380551267;A;0,937004197;B;0,698248883;A;B
Prefeitura Municipal de Alambari - SP;3500758;SP;5918;0,002608655;A;0,979331851;C;0,146978166;A;C
Prefeitura Municipal de Albertina - MG;3101409;MG;3003;;n.d.;0,842481312;A;0,005821479;A;n.d.
Prefeitura Municipal de Alcântara - MA;2100204;MA;22083;;n.d.;1,015944406;C;;n.d.;n.d.
